id,taxonomy
GQ383489.1,marine
GQ383488.1,marine
GQ383487.1,marine
GQ383486.1,marine
GQ383485.1,marine
GQ383484.1,marine
GQ383483.1,marine
GQ383482.1,marine
GQ383481.1,marine
GQ383480.1,marine
GQ383479.1,marine
GQ383478.1,marine
GQ383477.1,marine
GQ383476.1,marine
GQ383475.1,marine
GQ383474.1,marine
GQ383473.1,marine
GQ383472.1,marine
GQ383471.1,marine
GQ383470.1,marine
GQ383469.1,marine
GQ383468.1,marine
GQ383467.1,marine
GQ383466.1,marine
GQ383465.1,marine
GQ383464.1,marine
GQ383463.1,marine
GQ383462.1,marine
GQ383461.1,marine
GQ383460.1,marine
GQ383459.1,marine
GQ383458.1,marine
GQ383457.1,marine
GQ383456.1,marine
GQ383455.1,marine
GQ383454.1,marine
GQ383453.1,marine
GQ383452.1,marine
GQ383451.1,marine
GQ383450.1,marine
GQ383449.1,marine
GQ383448.1,marine
GQ383447.1,marine
GQ383446.1,marine
GQ383445.1,marine
GQ383444.1,marine
GQ383443.1,marine
GQ383442.1,marine
GQ383441.1,marine
GQ383440.1,marine
GQ383439.1,marine
GQ383438.1,marine
GQ383437.1,marine
GQ383436.1,marine
GQ383435.1,marine
GQ383434.1,marine
GQ383433.1,marine
GQ383432.1,marine
GQ383431.1,marine
GQ383430.1,marine
GQ383429.1,marine
GQ383428.1,marine
GQ383427.1,marine
GQ383426.1,marine
GQ383425.1,marine
GQ383424.1,marine
GQ383423.1,marine
GQ383422.1,marine
GQ383421.1,marine
GQ383420.1,marine
GQ383419.1,marine
GQ383418.1,marine
GQ383417.1,marine
GQ383416.1,marine
GQ383415.1,marine
GQ383414.1,marine
GQ383413.1,marine
GQ383412.1,marine
GQ383411.1,marine
GQ383410.1,marine
GQ383409.1,marine
GQ383408.1,marine
GQ383407.1,marine
GQ383406.1,marine
GQ383405.1,marine
GQ383404.1,marine
GQ383403.1,marine
GQ383402.1,marine
GQ383401.1,marine
GQ383400.1,marine
GQ383399.1,marine
GQ383398.1,marine
GQ383397.1,marine
GQ383396.1,marine
GQ383395.1,marine
GQ383394.1,marine
GQ383393.1,marine
GQ383392.1,marine
GQ383391.1,marine
GQ383390.1,marine
GQ383389.1,marine
GQ383388.1,marine
GQ383387.1,marine
GQ383386.1,marine
GQ383385.1,marine
GQ383384.1,marine
GQ383383.1,marine
GQ383382.1,marine
GQ383381.1,marine
GQ383380.1,marine
GQ383379.1,marine
GQ383378.1,marine
GQ383377.1,marine
GQ383376.1,marine
GQ383375.1,marine
GQ383374.1,marine
GQ383373.1,marine
GQ383372.1,marine
GQ383371.1,marine
GQ383370.1,marine
GQ383369.1,marine
GQ383368.1,marine
GQ383367.1,marine
GQ383366.1,marine
GQ383365.1,marine
GQ383364.1,marine
GQ383363.1,marine
GQ383362.1,marine
GQ383361.1,marine
GQ383360.1,marine
GQ383359.1,marine
GQ383358.1,marine
GQ383357.1,marine
GQ383356.1,marine
GQ383355.1,marine
GQ383354.1,marine
GQ383353.1,marine
GQ383352.1,marine
GQ383351.1,marine
GQ383350.1,marine
GQ383349.1,marine
GQ383348.1,marine
GQ383347.1,marine
GQ383346.1,marine
GQ383345.1,marine
GQ383344.1,marine
GQ383343.1,marine
GQ383342.1,marine
GQ383341.1,marine
GQ383340.1,marine
GQ383339.1,marine
GQ383338.1,marine
GQ383337.1,marine
GQ383336.1,marine
GQ383335.1,marine
GQ383334.1,marine
GQ383333.1,marine
GQ383332.1,marine
GQ383331.1,marine
GQ383330.1,marine
GQ383329.1,marine
GQ383328.1,marine
GQ383327.1,marine
GQ383326.1,marine
GQ383325.1,marine
GQ383324.1,marine
GQ383323.1,marine
GQ383322.1,marine
GQ383321.1,marine
GQ383320.1,marine
GQ383319.1,marine
GQ383318.1,marine
GQ383317.1,marine
GQ383316.1,marine
GQ383315.1,marine
GQ383314.1,marine
GQ383313.1,marine
GQ383312.1,marine
GQ383311.1,marine
GQ383310.1,marine
GQ383309.1,marine
GQ383308.1,marine
GQ383307.1,marine
GQ383306.1,marine
GQ383305.1,marine
GQ383304.1,marine
GQ383303.1,marine
GQ383302.1,marine
GQ383301.1,marine
GQ383300.1,marine
GQ383299.1,marine
GQ383298.1,marine
GQ383297.1,marine
GQ383296.1,marine
GQ383295.1,marine
GQ383294.1,marine
GQ383293.1,marine
GQ383292.1,marine
GQ383291.1,marine
GQ383290.1,marine
GQ383289.1,marine
GQ383288.1,marine
GQ383287.1,marine
GQ383286.1,marine
GQ383285.1,marine
GQ383284.1,marine
GQ383283.1,marine
GQ383282.1,marine
GQ383281.1,marine
GQ383280.1,marine
GQ383279.1,marine
GQ383278.1,marine
GQ383277.1,marine
GQ383276.1,marine
GQ383275.1,marine
GQ383274.1,marine
GQ383273.1,marine
GQ383272.1,marine
GQ383271.1,marine
GQ383270.1,marine
GQ383269.1,marine
GQ383268.1,marine
GQ383267.1,marine
GQ383266.1,marine
GQ383265.1,marine
GQ383264.1,marine
GQ383263.1,marine
GQ383262.1,marine
GQ383261.1,marine
GQ383260.1,marine
GQ383259.1,marine
GQ383258.1,marine
GQ383257.1,marine
GQ383256.1,marine
GQ383255.1,marine
GQ383254.1,marine
GQ383253.1,marine
GQ383252.1,marine
GQ383251.1,marine
GQ383250.1,marine
GQ383249.1,marine
GQ383248.1,marine
GQ383247.1,marine
GQ383246.1,marine
GQ383245.1,marine
GQ383244.1,marine
GQ383243.1,marine
GQ383242.1,marine
GQ383241.1,marine
GQ383240.1,marine
GQ383239.1,marine
GQ383238.1,marine
GQ383237.1,marine
GQ383236.1,marine
GQ383235.1,marine
GQ383234.1,marine
GQ383233.1,marine
GQ383232.1,marine
GQ383231.1,marine
GQ383230.1,marine
GQ383229.1,marine
GQ383228.1,marine
GQ383227.1,marine
GQ383226.1,marine
GQ383225.1,marine
GQ383224.1,marine
GQ383223.1,marine
GQ383222.1,marine
GQ383221.1,marine
GQ383220.1,marine
GQ383219.1,marine
GQ383218.1,marine
GQ383217.1,marine
GQ383216.1,marine
GQ383215.1,marine
GQ383214.1,marine
GQ383213.1,marine
GQ383212.1,marine
GQ383211.1,marine
GQ383210.1,marine
GQ383209.1,marine
GQ383208.1,marine
GQ383207.1,marine
GQ383206.1,marine
GQ383205.1,marine
GQ383204.1,marine
GQ383203.1,marine
GQ383202.1,marine
GQ383201.1,marine
GQ383200.1,marine
GQ383199.1,marine
GQ383198.1,marine
GQ383197.1,marine
GQ383196.1,marine
GQ383195.1,marine
GQ383194.1,marine
GQ383193.1,marine
GQ383192.1,marine
GQ383191.1,marine
GQ383190.1,marine
GQ383189.1,marine
GQ383188.1,marine
GQ383187.1,marine
GQ383186.1,marine
GQ383185.1,marine
GQ383184.1,marine
GQ383183.1,marine
GQ383182.1,marine
GQ383181.1,marine
GQ383180.1,marine
GQ383179.1,marine
GQ383178.1,marine
GQ383177.1,marine
GQ383176.1,marine
GQ383175.1,marine
GQ383174.1,marine
GQ383173.1,marine
GQ383172.1,marine
GQ383171.1,marine
GQ383170.1,marine
GQ383169.1,marine
GQ383168.1,marine
GQ383167.1,marine
GQ383166.1,marine
GQ383165.1,marine
GQ383164.1,marine
GQ383163.1,marine
GQ383162.1,marine
GQ383161.1,marine
GQ383160.1,marine
GQ383159.1,marine
GQ383158.1,marine
GQ383157.1,marine
GQ383156.1,marine
GQ383155.1,marine
GQ383154.1,marine
GQ383153.1,marine
GQ383152.1,marine
GQ383151.1,marine
GQ383150.1,marine
GQ383149.1,marine
GQ383148.1,marine
GQ383147.1,marine
GQ383146.1,marine
GQ383145.1,marine
GQ383144.1,marine
GQ383143.1,marine
GQ383142.1,marine
GQ383141.1,marine
GQ383140.1,marine
GQ383139.1,marine
GQ383138.1,marine
GQ383137.1,marine
GQ383136.1,marine
GQ383135.1,marine
GQ383134.1,marine
GQ383133.1,marine
GQ383132.1,marine
GQ383131.1,marine
GQ383130.1,marine
GQ383129.1,marine
GQ383128.1,marine
GQ383127.1,marine
GQ383126.1,marine
GQ383125.1,marine
GQ383124.1,marine
GQ383123.1,marine
GQ383122.1,marine
GQ383121.1,marine
GQ383120.1,marine
GQ383119.1,marine
GQ383118.1,marine
GQ383117.1,marine
GQ383116.1,marine
GQ383115.1,marine
GQ383114.1,marine
GQ383113.1,marine
GQ383112.1,marine
GQ383111.1,marine
GQ383110.1,marine
GQ383109.1,marine
GQ383108.1,marine
GQ383107.1,marine
GQ383106.1,marine
GQ383105.1,marine
GQ383104.1,marine
GQ383103.1,marine
GQ383102.1,marine
GQ383101.1,marine
GQ383100.1,marine
GQ383099.1,marine
GQ383098.1,marine
GQ383097.1,marine
GQ383096.1,marine
GQ383095.1,marine
GQ383094.1,marine
GQ383093.1,marine
GQ383092.1,marine
GQ383091.1,marine
GQ383090.1,marine
GQ383089.1,marine
GQ383088.1,marine
GQ383087.1,marine
GQ383086.1,marine
GQ383085.1,marine
GQ383084.1,marine
GQ383083.1,marine
GQ383082.1,marine
GQ383081.1,marine
GQ383080.1,marine
GQ383079.1,marine
GQ383078.1,marine
GQ383077.1,marine
GQ383076.1,marine
GQ383075.1,marine
GQ383074.1,marine
GQ383073.1,marine
GQ383072.1,marine
GQ383071.1,marine
GQ383070.1,marine
GQ383069.1,marine
GQ383068.1,marine
GQ383067.1,marine
GQ383066.1,marine
GQ383065.1,marine
GQ383064.1,marine
GQ383063.1,marine
GQ383062.1,marine
GQ383061.1,marine
GQ383060.1,marine
GQ383059.1,marine
GQ383058.1,marine
GQ383057.1,marine
GQ383056.1,marine
GQ383055.1,marine
GQ383054.1,marine
GQ383053.1,marine
GQ383052.1,marine
GQ383051.1,marine
GQ383050.1,marine
GQ383049.1,marine
GQ383048.1,marine
GQ383047.1,marine
GQ383046.1,marine
GQ383045.1,marine
GQ383044.1,marine
GQ383043.1,marine
GQ383042.1,marine
GQ383041.1,marine
GQ383040.1,marine
GQ383039.1,marine
GQ383038.1,marine
GQ383037.1,marine
GQ383036.1,marine
GQ383035.1,marine
GQ383034.1,marine
GQ383033.1,marine
GQ383032.1,marine
GQ383031.1,marine
GQ383030.1,marine
GQ383029.1,marine
GQ383028.1,marine
GQ383027.1,marine
GQ383026.1,marine
GQ383025.1,marine
GQ383024.1,marine
GQ383023.1,marine
GQ383022.1,marine
GQ383021.1,marine
GQ383020.1,marine
GQ383019.1,marine
GQ383018.1,marine
GQ383017.1,marine
GQ383016.1,marine
GQ383015.1,marine
GQ383014.1,marine
GQ383013.1,marine
GQ383012.1,marine
GQ383011.1,marine
GQ383010.1,marine
GQ383009.1,marine
GQ383008.1,marine
GQ383007.1,marine
GQ383006.1,marine
GQ383005.1,marine
GQ383004.1,marine
GQ383003.1,marine
GQ383002.1,marine
GQ383001.1,marine
GQ383000.1,marine
GQ382999.1,marine
GQ382998.1,marine
GQ382997.1,marine
GQ382996.1,marine
GQ382995.1,marine
GQ382994.1,marine
GQ382993.1,marine
GQ382992.1,marine
GQ382991.1,marine
GQ382990.1,marine
GQ382989.1,marine
GQ382988.1,marine
GQ382987.1,marine
GQ382986.1,marine
GQ382985.1,marine
GQ382984.1,marine
GQ382983.1,marine
GQ382982.1,marine
GQ382981.1,marine
GQ382980.1,marine
GQ382979.1,marine
GQ382978.1,marine
GQ382977.1,marine
GQ382976.1,marine
GQ382975.1,marine
GQ382974.1,marine
GQ382973.1,marine
GQ382972.1,marine
GQ382971.1,marine
GQ382970.1,marine
GQ382969.1,marine
GQ382968.1,marine
GQ382967.1,marine
GQ382966.1,marine
GQ382965.1,marine
GQ382964.1,marine
GQ382963.1,marine
GQ382962.1,marine
GQ382961.1,marine
GQ382960.1,marine
GQ382959.1,marine
GQ382958.1,marine
GQ382957.1,marine
GQ382956.1,marine
GQ382955.1,marine
GQ382954.1,marine
GQ382953.1,marine
GQ382952.1,marine
GQ382951.1,marine
GQ382950.1,marine
GQ382949.1,marine
GQ382948.1,marine
GQ382947.1,marine
GQ382946.1,marine
GQ382945.1,marine
GQ382944.1,marine
GQ382943.1,marine
GQ382942.1,marine
GQ382941.1,marine
GQ382940.1,marine
GQ382939.1,marine
GQ382938.1,marine
GQ382937.1,marine
GQ382936.1,marine
GQ382935.1,marine
GQ382934.1,marine
GQ382933.1,marine
GQ382932.1,marine
GQ382931.1,marine
GQ382930.1,marine
GQ382929.1,marine
GQ382928.1,marine
GQ382927.1,marine
GQ382926.1,marine
GQ382925.1,marine
GQ382924.1,marine
GQ382923.1,marine
GQ382922.1,marine
GQ382921.1,marine
GQ382920.1,marine
GQ382919.1,marine
GQ382918.1,marine
GQ382917.1,marine
GQ382916.1,marine
GQ382915.1,marine
GQ382914.1,marine
GQ382913.1,marine
GQ382912.1,marine
GQ382911.1,marine
GQ382910.1,marine
GQ382909.1,marine
GQ382908.1,marine
GQ382907.1,marine
GQ382906.1,marine
GQ382905.1,marine
GQ382904.1,marine
GQ382903.1,marine
GQ382902.1,marine
GQ382901.1,marine
GQ382900.1,marine
GQ382899.1,marine
GQ382898.1,marine
GQ382897.1,marine
GQ382896.1,marine
GQ382895.1,marine
GQ382894.1,marine
GQ382893.1,marine
GQ382892.1,marine
GQ382891.1,marine
GQ382890.1,marine
GQ382889.1,marine
GQ382888.1,marine
GQ382887.1,marine
GQ382886.1,marine
GQ382885.1,marine
GQ382884.1,marine
GQ382883.1,marine
GQ382882.1,marine
GQ382881.1,marine
GQ382880.1,marine
GQ382879.1,marine
GQ382878.1,marine
GQ382877.1,marine
GQ382876.1,marine
GQ382875.1,marine
GQ382874.1,marine
GQ382873.1,marine
GQ382872.1,marine
GQ382871.1,marine
GQ382870.1,marine
GQ382869.1,marine
GQ382868.1,marine
GQ382867.1,marine
GQ382866.1,marine
GQ382865.1,marine
GQ382864.1,marine
GQ382863.1,marine
GQ382862.1,marine
GQ382861.1,marine
GQ382860.1,marine
GQ382859.1,marine
GQ382858.1,marine
GQ382857.1,marine
GQ382856.1,marine
GQ382855.1,marine
GQ382854.1,marine
GQ382853.1,marine
GQ382852.1,marine
GQ382851.1,marine
GQ382850.1,marine
GQ382849.1,marine
GQ382848.1,marine
GQ382847.1,marine
GQ382846.1,marine
GQ382845.1,marine
GQ382844.1,marine
GQ382843.1,marine
GQ382842.1,marine
GQ382841.1,marine
GQ382840.1,marine
GQ382839.1,marine
GQ382838.1,marine
GQ382837.1,marine
GQ382836.1,marine
GQ382835.1,marine
GQ382834.1,marine
GQ382833.1,marine
GQ382832.1,marine
GQ382831.1,marine
GQ382830.1,marine
GQ382829.1,marine
GQ382828.1,marine
GQ382827.1,marine
GQ382826.1,marine
GQ382825.1,marine
GQ382824.1,marine
GQ382823.1,marine
GQ382822.1,marine
GQ382821.1,marine
GQ382820.1,marine
GQ382819.1,marine
GQ382818.1,marine
GQ382817.1,marine
GQ382816.1,marine
GQ382815.1,marine
GQ382814.1,marine
GQ382813.1,marine
GQ382812.1,marine
GQ382811.1,marine
GQ382810.1,marine
GQ382809.1,marine
GQ382808.1,marine
GQ382807.1,marine
GQ382806.1,marine
GQ382805.1,marine
GQ382804.1,marine
GQ382803.1,marine
GQ382802.1,marine
GQ382801.1,marine
GQ382800.1,marine
GQ382799.1,marine
GQ382798.1,marine
GQ382797.1,marine
GQ382796.1,marine
GQ382795.1,marine
GQ382794.1,marine
GQ382793.1,marine
GQ382792.1,marine
GQ382791.1,marine
GQ382790.1,marine
GQ382789.1,marine
GQ382788.1,marine
GQ382787.1,marine
GQ382786.1,marine
GQ382785.1,marine
GQ382784.1,marine
GQ382783.1,marine
GQ382782.1,marine
GQ382781.1,marine
GQ382780.1,marine
GQ382779.1,marine
GQ382778.1,marine
GQ382777.1,marine
GQ382776.1,marine
GQ382775.1,marine
GQ382774.1,marine
GQ382773.1,marine
GQ382772.1,marine
GQ382771.1,marine
GQ382770.1,marine
GQ382769.1,marine
GQ382768.1,marine
GQ382767.1,marine
GQ382766.1,marine
GQ382765.1,marine
GQ382764.1,marine
GQ382763.1,marine
GQ382762.1,marine
GQ382761.1,marine
GQ382760.1,marine
GQ382759.1,marine
GQ382758.1,marine
GQ382757.1,marine
GQ382756.1,marine
GQ382755.1,marine
GQ382754.1,marine
GQ382753.1,marine
GQ382752.1,marine
GQ382751.1,marine
GQ382750.1,marine
GQ382749.1,marine
GQ382748.1,marine
GQ382747.1,marine
GQ382746.1,marine
GQ382745.1,marine
GQ382744.1,marine
GQ382743.1,marine
GQ382742.1,marine
GQ382741.1,marine
GQ382740.1,marine
GQ382739.1,marine
GQ382738.1,marine
GQ382737.1,marine
GQ382736.1,marine
GQ382735.1,marine
GQ382734.1,marine
GQ382733.1,marine
GQ382732.1,marine
GQ382731.1,marine
GQ382730.1,marine
GQ382729.1,marine
GQ382728.1,marine
GQ382727.1,marine
GQ382726.1,marine
GQ382725.1,marine
GQ382724.1,marine
GQ382723.1,marine
GQ382722.1,marine
GQ382721.1,marine
GQ382720.1,marine
GQ382719.1,marine
GQ382718.1,marine
GQ382717.1,marine
GQ382716.1,marine
GQ382715.1,marine
GQ382714.1,marine
GQ382713.1,marine
GQ382712.1,marine
GQ382711.1,marine
GQ382710.1,marine
GQ382709.1,marine
GQ382708.1,marine
GQ382707.1,marine
GQ382706.1,marine
GQ382705.1,marine
GQ382704.1,marine
GQ382703.1,marine
GQ382702.1,marine
GQ382701.1,marine
GQ382700.1,marine
GQ382699.1,marine
GQ382698.1,marine
GQ382697.1,marine
GQ382696.1,marine
GQ382695.1,marine
GQ382694.1,marine
GQ382693.1,marine
GQ382692.1,marine
GQ382691.1,marine
GQ382690.1,marine
GQ382689.1,marine
GQ382688.1,marine
GQ382687.1,marine
GQ382686.1,marine
GQ382685.1,marine
GQ382684.1,marine
GQ382683.1,marine
GQ382682.1,marine
GQ382681.1,marine
GQ382680.1,marine
GQ382679.1,marine
GQ382678.1,marine
GQ382677.1,marine
GQ382676.1,marine
GQ382675.1,marine
GQ382674.1,marine
GQ382673.1,marine
GQ382672.1,marine
GQ382671.1,marine
GQ382670.1,marine
GQ382669.1,marine
GQ382668.1,marine
GQ382667.1,marine
GQ382666.1,marine
GQ382665.1,marine
GQ382664.1,marine
GQ382663.1,marine
GQ382662.1,marine
GQ382661.1,marine
GQ382660.1,marine
GQ382659.1,marine
GQ382658.1,marine
GQ382657.1,marine
GQ382656.1,marine
GQ382655.1,marine
GQ382654.1,marine
GQ382653.1,marine
GQ382652.1,marine
GQ382651.1,marine
GQ382650.1,marine
GQ382649.1,marine
GQ382648.1,marine
GQ382647.1,marine
GQ382646.1,marine
GQ382645.1,marine
GQ382644.1,marine
GQ382643.1,marine
GQ382642.1,marine
GQ382641.1,marine
GQ382640.1,marine
GQ382639.1,marine
GQ382638.1,marine
GQ382637.1,marine
GQ382636.1,marine
GQ382635.1,marine
GQ382634.1,marine
GQ382633.1,marine
GQ382632.1,marine
GQ382631.1,marine
GQ382630.1,marine
GQ382629.1,marine
GQ382628.1,marine
GQ382627.1,marine
GQ382626.1,marine
GQ382625.1,marine
GQ382624.1,marine
GQ382623.1,marine
GQ382622.1,marine
GQ382621.1,marine
GQ382620.1,marine
GQ382619.1,marine
GQ382618.1,marine
GQ382617.1,marine
GQ382616.1,marine
GQ382615.1,marine
GQ382614.1,marine
GQ382613.1,marine
GQ382612.1,marine
GQ382611.1,marine
GQ382610.1,marine
GQ382609.1,marine
GQ382608.1,marine
GQ382607.1,marine
GQ382606.1,marine
GQ382605.1,marine
GQ382604.1,marine
GQ382603.1,marine
GQ382602.1,marine
GQ382601.1,marine
GQ382600.1,marine
GQ382599.1,marine
GQ382598.1,marine
GQ382597.1,marine
GQ382596.1,marine
GQ382595.1,marine
GQ382594.1,marine
GQ382593.1,marine
GQ382592.1,marine
GQ382591.1,marine
GQ382590.1,marine
GQ382589.1,marine
GQ382588.1,marine
GQ382587.1,marine
GQ382586.1,marine
GQ382585.1,marine
GQ382584.1,marine
GQ382583.1,marine
GQ382582.1,marine
GQ382581.1,marine
GQ382580.1,marine
GQ382579.1,marine
GQ382578.1,marine
GQ382577.1,marine
GQ382576.1,marine
GQ382575.1,marine
GQ382574.1,marine
GQ382573.1,marine
GQ382572.1,marine
GQ382571.1,marine
GQ382570.1,marine
GQ382569.1,marine
GQ382568.1,marine
GQ382567.1,marine
GQ382566.1,marine
GQ382565.1,marine
GQ382564.1,marine
GQ382563.1,marine
GQ382562.1,marine
GQ382561.1,marine
GQ382560.1,marine
GQ382559.1,marine
GQ382558.1,marine
GQ382557.1,marine
GQ382556.1,marine
GQ382555.1,marine
GQ382554.1,marine
GQ382553.1,marine
GQ382552.1,marine
GQ382551.1,marine
GQ382550.1,marine
GQ382549.1,marine
GQ382548.1,marine
GQ382547.1,marine
GQ382546.1,marine
GQ382545.1,marine
GQ382544.1,marine
GQ382543.1,marine
GQ382542.1,marine
GQ382541.1,marine
GQ382540.1,marine
GQ382539.1,marine
GQ382538.1,marine
GQ382537.1,marine
GQ382536.1,marine
GQ382535.1,marine
GQ382534.1,marine
GQ382533.1,marine
GQ382532.1,marine
GQ382531.1,marine
GQ382530.1,marine
GQ382529.1,marine
GQ382528.1,marine
GQ382527.1,marine
GQ382526.1,marine
GQ382525.1,marine
GQ382524.1,marine
GQ382523.1,marine
GQ382522.1,marine
GQ382521.1,marine
GQ382520.1,marine
GQ382519.1,marine
GQ382518.1,marine
GQ382517.1,marine
GQ382516.1,marine
GQ382515.1,marine
GQ382514.1,marine
GQ382513.1,marine
GQ382512.1,marine
GQ382511.1,marine
GQ382510.1,marine
GQ382509.1,marine
GQ382508.1,marine
GQ382507.1,marine
GQ382506.1,marine
GQ382505.1,marine
GQ382504.1,marine
GQ382503.1,marine
GQ382502.1,marine
GQ382501.1,marine
GQ382500.1,marine
GQ382499.1,marine
GQ382498.1,marine
GQ382497.1,marine
GQ382496.1,marine
GQ382495.1,marine
GQ382494.1,marine
GQ382493.1,marine
GQ382492.1,marine
GQ382491.1,marine
GQ382490.1,marine
GQ382489.1,marine
GQ382488.1,marine
GQ382487.1,marine
GQ382486.1,marine
GQ382485.1,marine
GQ382484.1,marine
GQ382483.1,marine
GQ382482.1,marine
GQ382481.1,marine
GQ382480.1,marine
GQ382479.1,marine
GQ382478.1,marine
GQ382477.1,marine
GQ382476.1,marine
GQ382475.1,marine
GQ382474.1,marine
GQ382473.1,marine
GQ382472.1,marine
GQ382471.1,marine
GQ382470.1,marine
GQ382469.1,marine
GQ382468.1,marine
GQ382467.1,marine
GQ382466.1,marine
GQ382465.1,marine
GQ382464.1,marine
GQ382463.1,marine
GQ382462.1,marine
GQ382461.1,marine
GQ382460.1,marine
GQ382459.1,marine
GQ382458.1,marine
GQ382457.1,marine
GQ382456.1,marine
GQ382455.1,marine
GQ382454.1,marine
GQ382453.1,marine
GQ382452.1,marine
GQ382451.1,marine
GQ382450.1,marine
GQ382449.1,marine
GQ382448.1,marine
GQ382447.1,marine
GQ382446.1,marine
GQ382445.1,marine
GQ382444.1,marine
GQ382443.1,marine
GQ382442.1,marine
GQ382441.1,marine
GQ382440.1,marine
GQ382439.1,marine
GQ382438.1,marine
GQ382437.1,marine
GQ382436.1,marine
GQ382435.1,marine
GQ382434.1,marine
GQ382433.1,marine
GQ382432.1,marine
GQ382431.1,marine
GQ382430.1,marine
GQ382429.1,marine
GQ382428.1,marine
GQ382427.1,marine
GQ382426.1,marine
GQ382425.1,marine
GQ382424.1,marine
GQ382423.1,marine
GQ382422.1,marine
GQ382421.1,marine
GQ382420.1,marine
GQ382419.1,marine
GQ382418.1,marine
GQ382417.1,marine
GQ382416.1,marine
GQ382415.1,marine
GQ382414.1,marine
GQ382413.1,marine
GQ382412.1,marine
GQ382411.1,marine
